Experiment,SiteYear,Trialtype,PlotBarcode,Column,Row,Genotype,Zad
Brocklesby,2021,21WS0E,YVDR-01-001,1,1,Barley,
Brocklesby,2021,21WS0E,YVDR-01-002,1,2,18Y812-113,
Brocklesby,2021,21WS0E,YVDR-01-003,1,3,18Y1099-037,
Brocklesby,2021,21WS0E,YVDR-01-004,1,4,18Y1092-006,
Brocklesby,2021,21WS0E,YVDR-01-005,1,5,19W017-012,
Brocklesby,2021,21WS0E,YVDR-01-006,1,6,19W015-017,
Brocklesby,2021,21WS0E,YVDR-01-007,1,7,19W101-031,
Brocklesby,2021,21WS0E,YVDR-01-008,1,8,19W018-033,
Brocklesby,2021,21WS0E,YVDR-01-009,1,9,18Y409-015,
Brocklesby,2021,21WS0E,YVDR-01-010,1,10,18Y1255-013,
Brocklesby,2021,21WS0E,YVDR-01-011,1,11,18Y606-5004,
Brocklesby,2021,21WS0E,YVDR-01-012,1,12,18Y1133-010,
Brocklesby,2021,21WS0E,YVDR-01-013,1,13,18Y1276-008,
Brocklesby,2021,21WS0E,YVDR-01-014,1,14,18Y1180-045,
Brocklesby,2021,21WS0E,YVDR-01-015,1,15,Scout,
Brocklesby,2021,21WS0E,YVDR-01-016,1,16,18Y812-104,
Brocklesby,2021,21WS0E,YVDR-01-017,1,17,19W244-5054,
Brocklesby,2021,21WS0E,YVDR-01-018,1,18,19W204-5049,
Brocklesby,2021,21WS0E,YVDR-01-019,1,19,18Y344-016,
Brocklesby,2021,21WS0E,YVDR-01-020,1,20,18Y811-116,
Brocklesby,2021,21WS0E,YVDR-01-021,1,21,19W088-047,
Brocklesby,2021,21WS0E,YVDR-01-022,1,22,19W083-010,
Brocklesby,2021,21WS0E,YVDR-01-023,1,23,19W244-5016,
Brocklesby,2021,21WS0E,YVDR-01-024,1,24,19W016-002,
Brocklesby,2021,21WS0E,YVDR-01-025,1,25,18Y1231-040,
Brocklesby,2021,21WS0E,YVDR-01-026,1,26,Corack,
Brocklesby,2021,21WS0E,YVDR-01-027,1,27,18Y355-016,
Brocklesby,2021,21WS0E,YVDR-01-028,1,28,18Y1231-008,
Brocklesby,2021,21WS0E,YVDR-01-029,1,29,19W031-051,
Brocklesby,2021,21WS0E,YVDR-01-030,1,30,18Y1095-004,
Brocklesby,2021,21WS0E,YVDR-01-031,1,31,19W021-011,
Brocklesby,2021,21WS0E,YVDR-01-032,1,32,18Y391-011,
Brocklesby,2021,21WS0E,YVDR-01-033,1,33,18Y1095-066,
Brocklesby,2021,21WS0E,YVDR-01-034,1,34,Vixen,
Brocklesby,2021,21WS0E,YVDR-01-035,1,35,18Y1145B-023,
Brocklesby,2021,21WS0E,YVDR-01-036,1,36,18Y511-101,
Brocklesby,2021,21WS0E,YVDR-01-037,1,37,18Y1090-029,
Brocklesby,2021,21WS0E,YVDR-01-038,1,38,18Y392-016,
Brocklesby,2021,21WS0E,YVDR-01-039,1,39,DS Pascal,
Brocklesby,2021,21WS0E,YVDR-01-040,1,40,18Y729-020,
Brocklesby,2021,21WS0E,YVDR-01-041,1,41,18Y345-017,
Brocklesby,2021,21WS0E,YVDR-01-042,1,42,19W022-026,
Brocklesby,2021,21WS0E,YVDR-01-043,1,43,17Y372-008,
Brocklesby,2021,21WS0E,YVDR-01-044,1,44,18Y384-010,
Brocklesby,2021,21WS0E,YVDR-01-045,1,45,18Y736-015,
Brocklesby,2021,21WS0E,YVDR-01-046,1,46,19W024-051,
Brocklesby,2021,21WS0E,YVDR-01-047,1,47,19W034-029,
Brocklesby,2021,21WS0E,YVDR-01-048,1,48,19W025-036,
Brocklesby,2021,21WS0E,YVDR-01-049,1,49,19W013-023,
Brocklesby,2021,21WS0E,YVDR-01-050,1,50,18Y432-013,
Brocklesby,2021,21WS0E,YVDR-01-051,1,51,18Y374-010,
Brocklesby,2021,21WS0E,YVDR-01-052,1,52,18Y362-010,
