Experiment,SiteYear,Trialtype,PlotBarcode,Column,Row,Genotype,Zad
Harden,2021,21WS0E,YPBZ-01-001,1,1,Barley,
Harden,2021,21WS0E,YPBZ-01-002,1,2,19W017-077,
Harden,2021,21WS0E,YPBZ-01-003,1,3,18Y811-070,
Harden,2021,21WS0E,YPBZ-01-004,1,4,19W031-057,
Harden,2021,21WS0E,YPBZ-01-005,1,5,Wallup,
Harden,2021,21WS0E,YPBZ-01-006,1,6,18Y1145B-050,
Harden,2021,21WS0E,YPBZ-01-007,1,7,17Y512-021,
Harden,2021,21WS0E,YPBZ-01-008,1,8,19W021-036,
Harden,2021,21WS0E,YPBZ-01-009,1,9,18Y1179-010,
Harden,2021,21WS0E,YPBZ-01-010,1,10,19W012-009,
Harden,2021,21WS0E,YPBZ-01-011,1,11,Magenta,
Harden,2021,21WS0E,YPBZ-01-012,1,12,19W244-5035,
Harden,2021,21WS0E,YPBZ-01-013,1,13,19W028-022,
Harden,2021,21WS0E,YPBZ-01-014,1,14,19W101-5044,
Harden,2021,21WS0E,YPBZ-01-015,1,15,17Y372-010,
Harden,2021,21WS0E,YPBZ-01-016,1,16,18Y810-020,
Harden,2021,21WS0E,YPBZ-01-017,1,17,19W031-068,
Harden,2021,21WS0E,YPBZ-01-018,1,18,17Y334-027,
Harden,2021,21WS0E,YPBZ-01-019,1,19,18Y447-014,
Harden,2021,21WS0E,YPBZ-01-020,1,20,18Y375-004,
Harden,2021,21WS0E,YPBZ-01-021,1,21,17Y482-018,
Harden,2021,21WS0E,YPBZ-01-022,1,22,18Y1097-034,
Harden,2021,21WS0E,YPBZ-01-023,1,23,18Y728-015,
Harden,2021,21WS0E,YPBZ-01-024,1,24,18Y812-044,
Harden,2021,21WS0E,YPBZ-01-025,1,25,19W140-5027,
Harden,2021,21WS0E,YPBZ-01-026,1,26,18Y812-117,
Harden,2021,21WS0E,YPBZ-01-027,1,27,18Y1103-024,
Harden,2021,21WS0E,YPBZ-01-028,1,28,18Y1210-003,
Harden,2021,21WS0E,YPBZ-01-029,1,29,19W035-064,
Harden,2021,21WS0E,YPBZ-01-030,1,30,18Y812-126,
Harden,2021,21WS0E,YPBZ-01-031,1,31,19W204-5038,
Harden,2021,21WS0E,YPBZ-01-032,1,32,18Y1095-001,
Harden,2021,21WS0E,YPBZ-01-033,1,33,18Y460-022,
Harden,2021,21WS0E,YPBZ-01-034,1,34,18Y360-017,
Harden,2021,21WS0E,YPBZ-01-035,1,35,18Y371-013,
Harden,2021,21WS0E,YPBZ-01-036,1,36,19W036-067,
Harden,2021,21WS0E,YPBZ-01-037,1,37,18Y350-001,
Harden,2021,21WS0E,YPBZ-01-038,1,38,18Y389-009,
Harden,2021,21WS0E,YPBZ-01-039,1,39,19W015-011,
Harden,2021,21WS0E,YPBZ-01-040,1,40,18Y1133-027,
Harden,2021,21WS0E,YPBZ-01-041,1,41,19W019-005,
Harden,2021,21WS0E,YPBZ-01-042,1,42,18Y447-025,
Harden,2021,21WS0E,YPBZ-01-043,1,43,Trojan,
Harden,2021,21WS0E,YPBZ-01-044,1,44,18Y405-005,
Harden,2021,21WS0E,YPBZ-01-045,1,45,18Y1132-011,
Harden,2021,21WS0E,YPBZ-01-046,1,46,19W088-031,
