Experiment,SiteYear,Trialtype,PlotBarcode,Column,Row,Genotype,Zad
Lockhart,2021,21WS0E,YISX-01-001,1,1,Barley,
Lockhart,2021,21WS0E,YISX-01-002,1,2,18Y442-001,
Lockhart,2021,21WS0E,YISX-01-003,1,3,19W018-013,
Lockhart,2021,21WS0E,YISX-01-004,1,4,18Y450-013,
Lockhart,2021,21WS0E,YISX-01-005,1,5,19W016-013,
Lockhart,2021,21WS0E,YISX-01-006,1,6,17Y512-027,
Lockhart,2021,21WS0E,YISX-01-007,1,7,18Y448-008,
Lockhart,2021,21WS0E,YISX-01-008,1,8,19W017-003,
Lockhart,2021,21WS0E,YISX-01-009,1,9,18Y382-030,
Lockhart,2021,21WS0E,YISX-01-010,1,10,19W034-007,
Lockhart,2021,21WS0E,YISX-01-011,1,11,19W030-009,
Lockhart,2021,21WS0E,YISX-01-012,1,12,18Y404-018,
Lockhart,2021,21WS0E,YISX-01-013,1,13,19W034-053,
Lockhart,2021,21WS0E,YISX-01-014,1,14,18Y812-056,
Lockhart,2021,21WS0E,YISX-01-015,1,15,Mace,
Lockhart,2021,21WS0E,YISX-01-016,1,16,19W027-034,
Lockhart,2021,21WS0E,YISX-01-017,1,17,Beckom,
Lockhart,2021,21WS0E,YISX-01-018,1,18,19W179-017,
Lockhart,2021,21WS0E,YISX-01-019,1,19,18Y404-011,
Lockhart,2021,21WS0E,YISX-01-020,1,20,18Y1140-018,
Lockhart,2021,21WS0E,YISX-01-021,1,21,18Y1145A-004,
Lockhart,2021,21WS0E,YISX-01-022,1,22,18Y375-016,
Lockhart,2021,21WS0E,YISX-01-023,1,23,17Y496-010,
Lockhart,2021,21WS0E,YISX-01-024,1,24,19W007-021,
Lockhart,2021,21WS0E,YISX-01-025,1,25,18Y459-018,
Lockhart,2021,21WS0E,YISX-01-026,1,26,18Y449-018,
Lockhart,2021,21WS0E,YISX-01-027,1,27,18Y722-5011,
Lockhart,2021,21WS0E,YISX-01-028,1,28,18Y382-038,
Lockhart,2021,21WS0E,YISX-01-029,1,29,18Y384-009,
Lockhart,2021,21WS0E,YISX-01-030,1,30,19W011-031,
Lockhart,2021,21WS0E,YISX-01-031,1,31,18Y432-006,
Lockhart,2021,21WS0E,YISX-01-032,1,32,18Y385-009,
Lockhart,2021,21WS0E,YISX-01-033,1,33,18Y447-005,
Lockhart,2021,21WS0E,YISX-01-034,1,34,18Y391-001,
Lockhart,2021,21WS0E,YISX-01-035,1,35,Valiant CL Plus,
Lockhart,2021,21WS0E,YISX-01-036,1,36,18Y511-002,
Lockhart,2021,21WS0E,YISX-01-037,1,37,18Y452-012,
Lockhart,2021,21WS0E,YISX-01-038,1,38,19W007-038,
Lockhart,2021,21WS0E,YISX-01-039,1,39,Trojan,
Lockhart,2021,21WS0E,YISX-01-040,1,40,19W029-015,
Lockhart,2021,21WS0E,YISX-01-041,1,41,19W021-021,
Lockhart,2021,21WS0E,YISX-01-042,1,42,18Y457-024,
Lockhart,2021,21WS0E,YISX-01-043,1,43,18Y362-019,
Lockhart,2021,21WS0E,YISX-01-044,1,44,19W024-020,
Lockhart,2021,21WS0E,YISX-01-045,1,45,18Y811-109,
Lockhart,2021,21WS0E,YISX-01-046,1,46,19W035-039,
Lockhart,2021,21WS0E,YISX-01-047,1,47,18Y450-024,
Lockhart,2021,21WS0E,YISX-01-048,1,48,18Y1133-029,
Lockhart,2021,21WS0E,YISX-01-049,1,49,18Y453-016,
Lockhart,2021,21WS0E,YISX-01-050,1,50,18Y1101-006,
Lockhart,2021,21WS0E,YISX-01-051,1,51,18Y1132-020,
Lockhart,2021,21WS0E,YISX-01-052,1,52,19W004-030,
Lockhart,2021,21WS0E,YISX-01-053,1,53,18Y1145A-040,
Lockhart,2021,21WS0E,YISX-01-054,1,54,19W083-007,
Lockhart,2021,21WS0E,YISX-01-055,1,55,17Y514-028,
Lockhart,2021,21WS0E,YISX-01-056,1,56,18Y1168-5016,
Lockhart,2021,21WS0E,YISX-01-057,1,57,18Y811-026,
Lockhart,2021,21WS0E,YISX-01-058,1,58,18Y1095-059,
Lockhart,2021,21WS0E,YISX-01-059,1,59,18Y1094-025,
Lockhart,2021,21WS0E,YISX-01-060,1,60,18Y1118-012,
Lockhart,2021,21WS0E,YISX-01-061,1,61,18Y602-005,
Lockhart,2021,21WS0E,YISX-01-062,1,62,19W028-039,
Lockhart,2021,21WS0E,YISX-01-063,1,63,19W031-054,
Lockhart,2021,21WS0E,YISX-01-064,1,64,19W017-039,
Lockhart,2021,21WS0E,YISX-01-065,1,65,19W088-074,
Lockhart,2021,21WS0E,YISX-01-066,1,66,RockStar,
Lockhart,2021,21WS0E,YISX-01-067,1,67,17Y334-019,
Lockhart,2021,21WS0E,YISX-01-068,1,68,Scout,
Lockhart,2021,21WS0E,YISX-01-069,1,69,19W036-071,
Lockhart,2021,21WS0E,YISX-01-070,1,70,19W010-032,
Lockhart,2021,21WS0E,YISX-01-071,1,71,18Y1103-011,
Lockhart,2021,21WS0E,YISX-01-072,1,72,19W016-018,
Lockhart,2021,21WS0E,YISX-01-073,1,73,19W020-040,
Lockhart,2021,21WS0E,YISX-01-074,1,74,18Y437-005,
Lockhart,2021,21WS0E,YISX-01-075,1,75,19W009-036,
Lockhart,2021,21WS0E,YISX-01-076,1,76,18Y1225-028,
Lockhart,2021,21WS0E,YISX-01-077,1,77,18Y443-003,
Lockhart,2021,21WS0E,YISX-01-078,1,78,18Y372-014,
Lockhart,2021,21WS0E,YISX-01-079,1,79,19W035-047,
Lockhart,2021,21WS0E,YISX-01-080,1,80,19W022-028,
Lockhart,2021,21WS0E,YISX-01-081,1,81,18Y734-010,
Lockhart,2021,21WS0E,YISX-01-082,1,82,18Y349-030,
Lockhart,2021,21WS0E,YISX-01-083,1,83,18Y362-015,
Lockhart,2021,21WS0E,YISX-01-084,1,84,19W189-022,
Lockhart,2021,21WS0E,YISX-01-085,1,85,19W007-025,
Lockhart,2021,21WS0E,YISX-01-086,1,86,18Y447-014,
Lockhart,2021,21WS0E,YISX-01-087,1,87,18Y1210-006,
Lockhart,2021,21WS0E,YISX-01-088,1,88,19W083-038,
Lockhart,2021,21WS0E,YISX-01-089,1,89,19W019-022,
Lockhart,2021,21WS0E,YISX-01-090,1,90,18Y733-027,
Lockhart,2021,21WS0E,YISX-01-091,1,91,19W013-008,
Lockhart,2021,21WS0E,YISX-01-092,1,92,18Y364-002,
Lockhart,2021,21WS0E,YISX-01-093,1,93,17Y519-012,
Lockhart,2021,21WS0E,YISX-01-094,1,94,18Y457-006,
Lockhart,2021,21WS0E,YISX-01-095,1,95,Axe,
Lockhart,2021,21WS0E,YISX-01-096,1,96,Illabo,
Lockhart,2021,21WS0E,YISX-02-001,2,1,Stealth,
