Experiment,SiteYear,Trialtype,PlotBarcode,Column,Row,Genotype,Zad
Parkes,2021,21WS0E,YNMM-01-001,1,1,Barley,
Parkes,2021,21WS0E,YNMM-01-002,1,2,19W028-015,
Parkes,2021,21WS0E,YNMM-01-003,1,3,17Y503-018,
Parkes,2021,21WS0E,YNMM-01-004,1,4,19W015-003,
Parkes,2021,21WS0E,YNMM-01-005,1,5,18Y412-007,
Parkes,2021,21WS0E,YNMM-01-006,1,6,18Y1145B-041,
Parkes,2021,21WS0E,YNMM-01-007,1,7,19W009-019,
Parkes,2021,21WS0E,YNMM-01-008,1,8,18Y812-116,
Parkes,2021,21WS0E,YNMM-01-009,1,9,18Y389-002,
Parkes,2021,21WS0E,YNMM-01-010,1,10,18Y345-017,
Parkes,2021,21WS0E,YNMM-01-011,1,11,18Y355-009,
Parkes,2021,21WS0E,YNMM-01-012,1,12,18Y450-013,
Parkes,2021,21WS0E,YNMM-01-013,1,13,18Y450-001,
Parkes,2021,21WS0E,YNMM-01-014,1,14,18Y344-009,
Parkes,2021,21WS0E,YNMM-01-015,1,15,18Y603-5002,
Parkes,2021,21WS0E,YNMM-01-016,1,16,Scout,
Parkes,2021,21WS0E,YNMM-01-017,1,17,Cutlass,
Parkes,2021,21WS0E,YNMM-01-018,1,18,18Y1145B-036,
Parkes,2021,21WS0E,YNMM-01-019,1,19,17Y514-015,
Parkes,2021,21WS0E,YNMM-01-020,1,20,18Y359-008,
Parkes,2021,21WS0E,YNMM-01-021,1,21,18Y391-005,
Parkes,2021,21WS0E,YNMM-01-022,1,22,18Y1090-002,
Parkes,2021,21WS0E,YNMM-01-023,1,23,Lancer,
Parkes,2021,21WS0E,YNMM-01-024,1,24,18Y371-014,
Parkes,2021,21WS0E,YNMM-01-025,1,25,19W025-005,
Parkes,2021,21WS0E,YNMM-01-026,1,26,18Y1179-018,
Parkes,2021,21WS0E,YNMM-01-027,1,27,18Y459-018,
Parkes,2021,21WS0E,YNMM-01-028,1,28,19W014-029,
Parkes,2021,21WS0E,YNMM-01-029,1,29,18Y1138-006,
Parkes,2021,21WS0E,YNMM-01-030,1,30,18Y1101-017,
Parkes,2021,21WS0E,YNMM-01-031,1,31,19W013-032,
Parkes,2021,21WS0E,YNMM-01-032,1,32,18Y344-015,
Parkes,2021,21WS0E,YNMM-01-033,1,33,19W244-5034,
Parkes,2021,21WS0E,YNMM-01-034,1,34,19W029-021,
Parkes,2021,21WS0E,YNMM-01-035,1,35,19W179-015,
Parkes,2021,21WS0E,YNMM-01-036,1,36,18Y389-007,
Parkes,2021,21WS0E,YNMM-01-037,1,37,18Y1097-022,
Parkes,2021,21WS0E,YNMM-01-038,1,38,18Y1210-001,
Parkes,2021,21WS0E,YNMM-01-039,1,39,19W036-068,
Parkes,2021,21WS0E,YNMM-01-040,1,40,18Y1095-070,
Parkes,2021,21WS0E,YNMM-01-041,1,41,19W101-5027,
Parkes,2021,21WS0E,YNMM-01-042,1,42,Mace,
Parkes,2021,21WS0E,YNMM-01-043,1,43,18Y440-009,
Parkes,2021,21WS0E,YNMM-01-044,1,44,19W031-069,
Parkes,2021,21WS0E,YNMM-01-045,1,45,18Y436-5006,
Parkes,2021,21WS0E,YNMM-01-046,1,46,19W034-070,
Parkes,2021,21WS0E,YNMM-01-047,1,47,DS Pascal,
Parkes,2021,21WS0E,YNMM-01-048,1,48,17Y480-014,
Parkes,2021,21WS0E,YNMM-01-049,1,49,18Y812-109,
Parkes,2021,21WS0E,YNMM-01-050,1,50,18Y511-016,
Parkes,2021,21WS0E,YNMM-01-051,1,51,19W027-021,
Parkes,2021,21WS0E,YNMM-01-052,1,52,19W101-5020,
Parkes,2021,21WS0E,YNMM-01-053,1,53,18Y1095-051,
Parkes,2021,21WS0E,YNMM-01-054,1,54,19W030-010,
Parkes,2021,21WS0E,YNMM-01-055,1,55,18Y810-040,
Parkes,2021,21WS0E,YNMM-01-056,1,56,RockStar,
Parkes,2021,21WS0E,YNMM-01-057,1,57,18Y443-022,
Parkes,2021,21WS0E,YNMM-01-058,1,58,17Y496-020,
Parkes,2021,21WS0E,YNMM-01-059,1,59,18Y1225-022,
Parkes,2021,21WS0E,YNMM-01-060,1,60,18Y1134-020,
Parkes,2021,21WS0E,YNMM-01-061,1,61,18Y734-008,
Parkes,2021,21WS0E,YNMM-01-062,1,62,Valiant CL Plus,
Parkes,2021,21WS0E,YNMM-01-063,1,63,19W024-068,
Parkes,2021,21WS0E,YNMM-01-064,1,64,18Y1094-015,
Parkes,2021,21WS0E,YNMM-01-065,1,65,18Y734-007,
Parkes,2021,21WS0E,YNMM-01-066,1,66,19W143-5020,
Parkes,2021,21WS0E,YNMM-01-067,1,67,18Y443-032,
Parkes,2021,21WS0E,YNMM-01-068,1,68,19W019-012,
Parkes,2021,21WS0E,YNMM-01-069,1,69,18Y404-005,
Parkes,2021,21WS0E,YNMM-01-070,1,70,18Y1231-001,
Parkes,2021,21WS0E,YNMM-01-071,1,71,19W088-059,
Parkes,2021,21WS0E,YNMM-01-072,1,72,18Y375-009,
Parkes,2021,21WS0E,YNMM-01-073,1,73,19W140-5025,
Parkes,2021,21WS0E,YNMM-01-074,1,74,Trojan,
Parkes,2021,21WS0E,YNMM-01-075,1,75,18Y352-013,
Parkes,2021,21WS0E,YNMM-01-076,1,76,18Y379-016,
Parkes,2021,21WS0E,YNMM-01-077,1,77,18Y1130-008,
Parkes,2021,21WS0E,YNMM-01-078,1,78,18Y511-128,
Parkes,2021,21WS0E,YNMM-01-079,1,79,19W068-004,
Parkes,2021,21WS0E,YNMM-01-080,1,80,18Y1103-040,
Parkes,2021,21WS0E,YNMM-01-081,1,81,18Y372-004,
Parkes,2021,21WS0E,YNMM-01-082,1,82,18Y457-008,
Parkes,2021,21WS0E,YNMM-01-083,1,83,18Y452-002,
Parkes,2021,21WS0E,YNMM-01-084,1,84,19W035-077,
Parkes,2021,21WS0E,YNMM-01-085,1,85,19W018-028,
Parkes,2021,21WS0E,YNMM-01-086,1,86,Suntop,
Parkes,2021,21WS0E,YNMM-01-087,1,87,19W207-020,
Parkes,2021,21WS0E,YNMM-01-088,1,88,19W083-028,
Parkes,2021,21WS0E,YNMM-01-089,1,89,18Y1177-025,
Parkes,2021,21WS0E,YNMM-01-090,1,90,19W031-016,
Parkes,2021,21WS0E,YNMM-01-091,1,91,18Y1099-001,
Parkes,2021,21WS0E,YNMM-01-092,1,92,19W017-048,
Parkes,2021,21WS0E,YNMM-01-093,1,93,19W083-036,
Parkes,2021,21WS0E,YNMM-01-094,1,94,19W016-033,
Parkes,2021,21WS0E,YNMM-01-095,1,95,18Y511-119,
Parkes,2021,21WS0E,YNMM-01-096,1,96,Illabo,
Parkes,2021,21WS0E,YNMM-02-001,2,1,Stealth,
Parkes,2021,21WS0E,YNMM-02-002,2,2,18Y391-001,
Parkes,2021,21WS0E,YNMM-02-003,2,3,18Y440-005,
Parkes,2021,21WS0E,YNMM-02-004,2,4,18Y1138-003,
Parkes,2021,21WS0E,YNMM-02-005,2,5,18Y597-5018,
Parkes,2021,21WS0E,YNMM-02-006,2,6,19W244-5040,
Parkes,2021,21WS0E,YNMM-02-007,2,7,19W035-008,
Parkes,2021,21WS0E,YNMM-02-008,2,8,18Y1231-068,
Parkes,2021,21WS0E,YNMM-02-009,2,9,17Y513-023,
Parkes,2021,21WS0E,YNMM-02-010,2,10,19W122-5016,
Parkes,2021,21WS0E,YNMM-02-011,2,11,18Y371-019,
Parkes,2021,21WS0E,YNMM-02-012,2,12,18Y344-001,
Parkes,2021,21WS0E,YNMM-02-013,2,13,18Y349-014,
Parkes,2021,21WS0E,YNMM-02-014,2,14,18Y459-013,
Parkes,2021,21WS0E,YNMM-02-015,2,15,19W031-038,
Parkes,2021,21WS0E,YNMM-02-016,2,16,18Y733-015,
Parkes,2021,21WS0E,YNMM-02-017,2,17,19W034-025,
Parkes,2021,21WS0E,YNMM-02-018,2,18,18Y375-005,
Parkes,2021,21WS0E,YNMM-02-019,2,19,18Y364-013,
Parkes,2021,21WS0E,YNMM-02-020,2,20,18Y734-001,
Parkes,2021,21WS0E,YNMM-02-021,2,21,18Y1092-010,
Parkes,2021,21WS0E,YNMM-02-022,2,22,19W140-008,
Parkes,2021,21WS0E,YNMM-02-023,2,23,19W207-044,
Parkes,2021,21WS0E,YNMM-02-024,2,24,Beckom,
Parkes,2021,21WS0E,YNMM-02-025,2,25,18Y1145B-007,
Parkes,2021,21WS0E,YNMM-02-026,2,26,19W035-026,
Parkes,2021,21WS0E,YNMM-02-027,2,27,19W073-018,
Parkes,2021,21WS0E,YNMM-02-028,2,28,18Y380-018,
Parkes,2021,21WS0E,YNMM-02-029,2,29,17Y504-029,
Parkes,2021,21WS0E,YNMM-02-030,2,30,19W034-074,
Parkes,2021,21WS0E,YNMM-02-031,2,31,19W007-023,
Parkes,2021,21WS0E,YNMM-02-032,2,32,19W016-080,
Parkes,2021,21WS0E,YNMM-02-033,2,33,18Y1179-039,
Parkes,2021,21WS0E,YNMM-02-034,2,34,17Y495-017,
Parkes,2021,21WS0E,YNMM-02-035,2,35,18Y811-061,
Parkes,2021,21WS0E,YNMM-02-036,2,36,19W015-008,
Parkes,2021,21WS0E,YNMM-02-037,2,37,Chief CL Plus,
Parkes,2021,21WS0E,YNMM-02-038,2,38,18Y391-014,
Parkes,2021,21WS0E,YNMM-02-039,2,39,19W017-049,
Parkes,2021,21WS0E,YNMM-02-040,2,40,18Y382-005,
Parkes,2021,21WS0E,YNMM-02-041,2,41,19W004-021,
Parkes,2021,21WS0E,YNMM-02-042,2,42,19W140-5023,
Parkes,2021,21WS0E,YNMM-02-043,2,43,19W012-018,
Parkes,2021,21WS0E,YNMM-02-044,2,44,19W019-013,
Parkes,2021,21WS0E,YNMM-02-045,2,45,18Y1095-033,
Parkes,2021,21WS0E,YNMM-02-046,2,46,19W088-043,
Parkes,2021,21WS0E,YNMM-02-047,2,47,Wallup,
